Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Url,SerializedViewModel,Mean,Error,StdDev,Median,Min,Op/s,ETW log file,ProcessRequest,WriteHtmlResponse,BuildView,BindableObject.GetValue,Lifecycle events,Deserialize,ResolveCommand,Serialize,Gen 0,Gen 1,Gen 2,Allocated
DotvvmSynthTestBenchmark,TestMininalPage,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,?,?,233.4971 us,5.3263 us,7.6389 us,231.7824 us,222.5747 us,4282.71,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.04 MB
DotvvmSynthTestBenchmark,Test1000Bindins,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,?,?,"8,072.6619 us",159.5957 us,163.8930 us,"8,073.1155 us","7,797.7231 us",123.87,-,98.8642%,61.92584%,15.45014%,10.5061%,21.59679%,0%,0%,0.7265742%,76.1719,-,-,4.12 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/,?,"3,153.5606 us",68.4360 us,81.4682 us,"3,120.6356 us","3,061.2193 us",317.1,-,99.55018%,17.01718%,1.109943%,5.812595%,68.35495%,0%,0%,15.31721%,14.3229,-,-,1.26 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/,?,"9,453.5915 us",185.0698 us,253.3256 us,"9,481.2483 us","8,945.2378 us",105.78,-,99.46252%,27.18998%,0.5981535%,2.847731%,38.68927%,0%,0%,33.71765%,122.2656,78.9063,19.1406,4.06 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ComplexSamples/CascadeSelectors/CascadeSelectors,ukFnBhTpx2EgQ7PH_874551400,589.2779 us,4.8564 us,3.7916 us,588.9499 us,580.2461 us,1696.99,-,96.5155%,0%,15.03971%,2.498078%,2.305918%,23.48194%,4.970536%,16.62823%,-,-,-,0.1 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ComplexSamples/CascadeSelectors/CascadeSelectors,?,535.6122 us,6.6542 us,6.2243 us,534.0064 us,528.6251 us,1867.02,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.12 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ComplexSamples/CascadeSelectors/TripleComboBoxes,2XF9ZkvfKRH0S1K_1358883401,"2,102.2552 us",85.9205 us,243.7423 us,"2,062.8961 us","1,834.3211 us",475.68,-,97.31534%,0%,2.922156%,5.682238%,31.72008%,26.13894%,4.812491%,14.11974%,7.5391,-,-,0.49 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ComplexSamples/CascadeSelectors/TripleComboBoxes,XQy8x61tpcSPhG_1806552526,"2,151.9314 us",97.5294 us,282.9506 us,"2,067.7213 us","1,847.9697 us",464.7,-,96.49205%,0%,2.79306%,5.642041%,32.05217%,26.20761%,4.172964%,14.20108%,7.5000,-,-,0.49 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ComplexSamples/CascadeSelectors/TripleComboBoxes,?,"2,340.9831 us",241.3157 us,707.7372 us,"2,166.0564 us","1,557.1252 us",427.17,-,97.2235%,36.96218%,4.767008%,7.63538%,37.98806%,0%,0%,17.52667%,2.3777,-,-,0.55 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ComplexSamples/ChangedEvent/ChangedEvent,1Buw8PhhgoeNRczc_870549926,770.5471 us,2.8553 us,2.5312 us,770.4703 us,766.0373 us,1297.78,-,98.60107%,0%,15.24553%,4.710697%,20.83175%,13.66578%,7.213552%,17.02512%,-,-,-,0.16 MB
